epoch,loss,mae,rmse,val_loss,val_mae,val_rmse
0,266.8362121582031,31.340152740478516,39.85145568847656,958.0811157226562,100.79037475585938,108.58759307861328
1,223.73471069335938,26.988054275512695,34.116336822509766,603.9989013671875,65.31383514404297,73.50103759765625
2,193.95263671875,23.933631896972656,30.71929359436035,580.223876953125,62.97293472290039,71.2896499633789
3,175.3043212890625,22.04273223876953,28.48118782043457,205.0216827392578,25.0408878326416,34.19873046875
4,162.01463317871094,20.671537399291992,26.76955795288086,326.7770690917969,37.474246978759766,44.958683013916016
5,147.0096435546875,19.120567321777344,24.833784103393555,167.20709228515625,21.15869903564453,29.76947021484375
6,139.24327087402344,18.3216495513916,23.794979095458984,151.83094787597656,19.556350708007812,27.723121643066406
7,132.88934326171875,17.64733123779297,23.0452823638916,141.94100952148438,18.518657684326172,26.33757781982422
8,127.45771789550781,17.087995529174805,22.305282592773438,138.1234130859375,18.132335662841797,25.805194854736328
9,121.3808364868164,16.455488204956055,21.559789657592773,167.28538513183594,21.07741928100586,29.863571166992188
10,116.09706115722656,15.901776313781738,20.873287200927734,130.55386352539062,17.312076568603516,24.4735107421875
11,111.73191833496094,15.428890228271484,20.34086799621582,138.51345825195312,18.135828018188477,25.924100875854492
12,108.59648132324219,15.091858863830566,19.95608139038086,147.62973022460938,19.070796966552734,27.00490379333496
13,103.7696533203125,14.580278396606445,19.352937698364258,148.16737365722656,19.151405334472656,26.890527725219727
14,99.8402099609375,14.158622741699219,18.88494300842285,165.38613891601562,20.945358276367188,28.732149124145508
15,91.6530532836914,13.29085922241211,17.862232208251953,126.26459503173828,16.902687072753906,23.67117691040039
16,85.29325866699219,12.624990463256836,16.93065071105957,121.57499694824219,16.40829849243164,22.86348533630371
17,82.45268249511719,12.319436073303223,16.544816970825195,120.1901626586914,16.259016036987305,22.643192291259766
18,80.3326187133789,12.089491844177246,16.25762176513672,119.27560424804688,16.160593032836914,22.518686294555664
19,78.55220794677734,11.896642684936523,16.017717361450195,119.2107925415039,16.151493072509766,22.557477951049805
20,76.99592590332031,11.727311134338379,15.807576179504395,118.50322723388672,16.078025817871094,22.44618797302246
21,75.57304382324219,11.571768760681152,15.61551570892334,117.46278381347656,15.97265625,22.255813598632812
22,74.25128173828125,11.425236701965332,15.439858436584473,117.22607421875,15.951553344726562,22.21541404724121
23,73.00480651855469,11.286789894104004,15.272239685058594,116.5596694946289,15.885737419128418,22.09392738342285
24,71.80812072753906,11.153356552124023,15.113823890686035,116.02041625976562,15.833172798156738,21.979698181152344
25,70.66694641113281,11.024913787841797,14.961304664611816,115.4697036743164,15.776005744934082,21.868722915649414
26,69.5697021484375,10.90119743347168,14.813725471496582,114.51294708251953,15.678082466125488,21.695158004760742
27,68.4909896850586,10.778773307800293,14.670961380004883,113.66065979003906,15.58947467803955,21.535240173339844
28,67.46224975585938,10.662421226501465,14.532964706420898,113.2125473022461,15.542582511901855,21.450605392456055
29,66.43596649169922,10.546154022216797,14.395305633544922,112.92668914794922,15.513078689575195,21.387792587280273
